своѭ,3s---fa--i
погоубітъ,3spia----i
ѭ,3s---fa--i
і,---------n
ненавідѧі,-sppamn-wi
дшѧ,-s---fg--i
своеѧ,3s---fg--i
въ,---------n
мірѣ,-s---ml--i
семь,-s---ol--i
въ,---------n
жівотѣ,-s---ml--i
вѣчьнѣмь,-s---mlpwi
съхранітъ,3spia----i
ѭ,3s---fa--i
аште,---------n
кто,-s---mn--i
мнѣ,1s---md--i
слоужітъ,3spia----i
по,---------n
мнѣ,1s---ml--i
да,---------n
ходітъ,3spia----i
ідеже,---------n
есмь,1spia----i
азъ,1s---qn--i
тоу,---------n
і,---------n
слоуга,-s---mn--i
моі,1s---mn--i
бѫдетъ,3sfia----i
і,---------n
аште,---------n
къто,-s---qn--i
мьнѣ,1s---qd--i
слоужітъ,3spia----i
почьтетъ,3spia----i
і,---------n
оць,-s---mn--i
нъінѣ,---------n
дша,-s---fn--i
моѣ,1s---fn--i
възмѫті,3saia----i
сѧ,3s---qa--i
і,---------n
чьто,-s---na--i
рекѫ,1spia----i
оче,-s---mv--i
спі,2spma----i
мѧ,1s---ma--i
отъ,---------n
часа,-s---mg--i
сего,-s---ng--i
нъ,---------n
сего,-s---ng--i
раді,---------n
прідъ,1saia----i
на,---------n
годінѫ,-s---fa--i
сіѭ,-s---fa--i
оче,-s---mv--i
прославі,2spma----i
імѧ,-s---na--i
твое,2s---na--i
пріде,3saia----i
же,---------n
глас,-s---ma--i
съ,---------n
нбсе,-s---ng--i
і,---------n
прославіхъ,1saia----i
і,---------n
пакъі,---------n
прославлѫ,1spia----i
народъ,-s---mn--i
же,---------n
стоѧ,-sppamn-si
і,---------n
слъішавъ,-supamn-si
глаахѫ,3piia----i
громъ,-s---mn--i
бъістъ,3saia----i
іні,-p---mn--i
глахѫ,3piia----i
аглъ,-s---mn--i
гла,3saia----i
емоу,3s---md--i
отъвѣшта,3saia----i
іс,-s---mn--i
і,---------n
рече,3saia----i
не,---------n
мене,1s---mg--i
раді,---------n
гласъ,-s---ma--i
сь,-s---mn--i
бъіс,3saia----i
нъ,---------n
народа,-s---mg--i
раді,---------n
нъінѣ,---------n
же,---------n
сѫдъ,-s---ma--i
естъ,3spia----i
міроу,-s---md--i
семоу,-s---od--i
нъінѣ,---------n
кънѧзь,-s---mn--i
міра,-s---mg--i
сего,-s---og--i
ізгънанъ,-suppmn-si
бѫдетъ,3sfia----i
вънъ,---------n
і,---------n
азъ,1s---qn--i
аште,---------n
вьзнесенъ,-suppmn-si
бѫдѫ,1sfia----i
отъ,---------n
землѧ,-s---fg--i
вьсѧ,-p---pa--i
прівлѣкѫ,1spia----i
къ,---------n
себѣ,3s---qd--i
се,-s---na--i
же,---------n
глааше,3siia----i
клеплѧ,-sppamn-si
коеѭ,-s---fi--i
съмрътіѭ,-s---fi--i
хотѣаше,3siia----i
оумьрѣті,--pna----i
отъвѣшта,3saia----i
емоу,3s---md--i
народъ,-s---mn--i
мъі,1p---qn--i
слъішахомъ,1paia----i
отъ,---------n
закона,-s---mg--i
ѣко,---------n
хъ,-s---mn--i
прѣбъіваетъ,3spia----i
въ,---------n
вѣкъ,-s---ma--i
і,---------n
како,---------n
тъі,2s---qn--i
глеші,2spia----i
вьзнесті,--pna----i
сѧ,3s---qa--i
подобаетъ,3spia----i
сноу,-s---md--i
чскоуемоу,-s---odpwi
къто,-s---qn--i
сь,-s---mn--i
естъ,3spia----i
снъ,-s---mn--i
чскъі,-s---mnpwi
рече,3saia----i
же,---------n
емоу,3s---md--i
іс,-s---mn--i
еште,---------n
въ,---------n
мало,-s---napsi
врѣмѧ,-s---na--i
свѣтъ,-s---mn--i
въ,---------n
васъ,2p---ql--i
естъ,3spia----i
ходіте,2ppma----i
доньдеже,---------n
свѣтъ,-s---ma--i
імате,2ppia----i
да,---------n
тьма,-d---fd--i
васъ,2p---qg--i
не,---------n
іметъ,3spia----i
і,---------n
ходѧі,-sppamn-wi
въ,---------n
тьмѣ,-s---fl--i
не,---------n
вѣстъ,3spia----i
камо,---------n
ідетъ,3spia----i
доньдеже,---------n
свѣтъ,-s---ma--i
імате,2ppia----i
вѣроуете,2ppia----i
въ,---------n
свѣтъ,-s---ma--i
да,---------n
сні,-p---mn--i
свѣтоу,-s---md--i
бѫдете,2pfia----i
сі,-p---na--i
гла,3saia----i
іс,-s---mn--i
і,---------n
шьдъ,-supamn-si
съкръі,3saia----i
сѧ,3s---qa--i
отъ,---------n
ніхъ,3p---ml--i
толіка,-p---na--i
же,---------n
знаменіѣ,-p---na--i
сътворьшоу,-supamd-si
емоу,3s---md--i
прѣдъ,---------n
німі,3p---mi--i
не,---------n
вѣроваахѫ,3piia----i
емоу,3s---md--i
да,---------n
събѫдѫтъ,3ppia----i
сѧ,3s---qa--i
словеса,-p---nn--i
ісаіѧ,-s---mg--i
пророка,-s---mg--i
еже,-s---na--i
рече,3saia----i
гі,-s---mv--i
къто,-s---pn--i
вѣрова,3saia----i
слоухоу,-s---md--i
вашемоу,2s---od--i
і,---------n
мъішьца,-s---fn--i
гнѣ,-s---fnpsi
комоу,-s---qd--i
отъкръі,3saia----i
сѧ,3s---qa--i
сего,-s---ng--i
раді,---------n
не,---------n
можахѫ,3piia----i
вѣроваті,--pna----i
ѣко,---------n
пакъі,---------n
рече,3saia----i
ісаіѣ,-s---mn--i
ослѣпі,3saia----i
очі,-d---na--i
іхъ,3p---mg--i
і,---------n
окамѣнілъ,-sspamn-si
естъ,3spia----i
сръдьца,-s---ng--i
іхъ,3p---pg--i
да,---------n
не,---------n
відѧтъ,3ppia----i
очіма,-d---ni--i
ні,---------n
разоумѣѭтъ,3ppia----i
сръдьцемь,-s---ni--i
і,---------n
обратѧтъ,3ppia----i
сѧ,3s---qa--i
і,---------n
іцѣлѫ,1spia----i
ѧ,3p---ma--i
сі,-p---na--i
рече,3saia----i
ісаіѣ,-s---mn--i
егда,---------n
відѣ,3saia----i
славѫ,-s---fa--i
его,3s---mg--i
і,---------n
гла,3saia----i
о,---------n
немь,3s---ml--i
обаче,---------n
оубо,---------n
і,---------n
отъ,---------n
кънѧзь,-p---mg--i
мнозі,-p---mnpsi
вѣровашѧ,3paia----i
вь,---------n
него,3s---mg--i
нъ,---------n
фарісѣі,-p---mn--i
раді,---------n
не,---------n
ісповѣдаахѫ,3piia----i
да,---------n
не,---------n
і,---------n
сънъмішть,-p---ng--i
ізгънані,-puppmn-si
бѫдѫтъ,3pfia----i
вьзлюбішѧ,3paia----i
бо,---------n
паче,-------c-i
славѫ,-s---fa--i
чскѫ,-s---fapsi
неже,---------n
славѫ,-s---fa--i
бжіѭ,-s---fapsi
іс,-s---mn--i
же,---------n
възъва,3saia----i
і,---------n
рече,3saia----i
вѣроуѧі,-sppamn-wi
вь,---------n
мѧ,1s---qa--i
не,---------n
вѣроуетъ,3spia----i
въ,---------n
мене,1s---qg--i
нъ,---------n
въ,---------n
посълавъшаего,-supamg-wi
мѧ,1s---qa--i
і,---------n
відѧі,-sppamn-wi
мѧ,1s---qa--i
відітъ,3spia----i
посълавъшаего,-supamg-wi
мѧ,1s---qa--i
азъ,1s---qn--i
свѣтъ,-s---mn--i
въ,---------n
вьсь,-s---ma--i
міръ,-s---ma--i
прідъ,1saia----i
да,---------n
вьсѣкъ,-s---mnpsi
вѣроуѧі,-sppamn-wi
въ,---------n
мѧ,1s---qa--i
въ,---------n
тьмѣ,-s---fl--i
не,---------n
прѣбѫдетъ,3spia----i
і,---------n
аште,---------n
кто,-s---qn--i
оуслъішітъ,3spia----i
глъі,-p---ma--i
моѧ,1p---ma--i
і,---------n
не,---------n
съхранітъ,3spia----i
іхъ,3p---mg--i
азъ,1s---qn--i
не,---------n
сѫждѫ,1spia----i
емоу,3s---md--i
не,---------n
прідъ,1saia----i
бо,---------n
да,---------n
сѫждѫ,1spia----i
міроу,-s---md--i
нъ,---------n
да,---------n
съпасѫ,1spia----i
міръ,-s---ma--i
отъмѣтаѧі,-sppamn-wi
сѧ,3s---qa--i
мене,1s---qg--i
і,---------n
не,---------n
пріемлѧ,-sppamn-si
глъ,-p---mg--i
моіхъ,1p---qg--i
іматъ,3spia----i
сѫдѧштаего,-sppamg-wi
емоу,3s---md--i
слово,-s---nn--i
еже,-s---na--i
глахъ,1saia----i
то,-s---nn--i
сѫдітъ,3spia----i
емоу,3s---md--i
въ,---------n
послѣдьні,-s---mapti
дьнь,-s---ma--i
ѣко,---------n
азъ,1s---qn--i
о,---------n
себѣ,3s---ql--i
не,---------n
глаахъ,1siia----i
нъ,---------n
посълавъі,-supamn-wi
мѧ,1s---qa--i
оць,-s---mn--i
тъ,-s---mn--i
мьнѣ,1s---qd--i
заповѣдь,-s---fa--i
дастъ,3saia----i
чьто,-s---na--i
рекѫ,1spia----i
і,---------n
чьто,-s---na--i
възглаголѫ,1spia----i
і,---------n
вѣмь,1spia----i
ѣко,---------n
заповѣдь,-s---fa--i
его,3s---mg--i
жівотъ,-s---mn--i
вѣчьнъі,-s---mnpwi
естъ,3spia----i
ѣже,-p---na--i
оубо,---------n
азъ,1s---qn--i
глѭ,1spia----i
ѣкоже,---------n
рече,3saia----i
мнѣ,1s---md--i
оць,-s---mn--i
тако,---------n
глѭ,1spia----i
прѣжде,---------n
же,---------n
праздьніка,-s---mg--i
пасцѣ,-s---fd--i
вѣдъі,-sppamn-si
іс,-s---mn--i
ѣко,---------n
пріде,3saia----i
емоу,3s---md--i
годіна,-s---fn--i
да,---------n
і,---------n
прѣідетъ,3spia----i
отъ,---------n
міра,-s---mg--i
сего,-s---og--i
къ,---------n
оцоу,-s---md--i
възлюбль,-supamn-si
своѧ,3p---ma--i
сѫштѧѧ,-pppapa-wi
въ,---------n
вьсемь,-s---ol--i
мірѣ,-s---ml--i
до,---------n
коньца,-s---mg--i
вьзлюбі,3saia----i
ѧ,3p---ma--i
і,---------n
вечері,-s---fd--i
бъівъші,-supafd-si
діѣволоу,-s---md--i
юже,---------n
въложьшоу,-supamd-si
въ,---------n
сръдьце,-s---na--i
іюдѣ,-s---md--i
сімоновоу,-s---odpsi
іскаріотьскоуемоу,-s---odpwi
да,---------n
і,3s---ma--i
прѣдастъ,3spia----i
вѣдъі,-sppamn-si
же,---------n
іс,-s---mn--i
ѣко,---------n
вьсѣ,-p---na--i
дастъ,3saia----i
емоу,3s---md--i
оць,-s---mn--i
въ,---------n
рѫцѣ,-d---fa--i
і,---------n
ѣко,---------n
отъ,---------n
ба,-s---mg--i
ізідъ,1saia----i
і,---------n
къ,---------n
бу,-s---md--i
грѧдетъ,3spia----i
въста,3saia----i
съ,---------n
вечерѧ,-s---fg--i
і,---------n
положі,3saia----i
різъі,-p---fa--i
і,---------n
пріімъ,-supamn-si
леонтіі,-s---mn--i
прѣпоѣса,3saia----i
сѧ,3s---qa--i
потомь,---------n
же,---------n
воліѣ,3saia----i
водѫ,-s---fa--i
въ,---------n
оумъівальніцѫ,-s---fa--i
і,---------n
начѧтъ,3saia----i
оумъіваті,--pna----i
нозѣ,-d---fa--i
оученікомъ,-p---md--i
і,---------n
отіраті,--pna----i
лентіемь,-s---mi--i
імьже,-s---mi--i
бѣ,3siia----i
прѣпоѣсанъ,-suppmn-si
пріде,3saia----i
же,---------n
къ,---------n
сімоноу,-s---md--i
петроу,-s---md--i
і,---------n
гла,3saia----i
емоу,3s---md--i
тъ,-s---mn--i
гі,-s---mv--i
тъі,2s---qn--i
лі,---------n
моі,1d---ra--i
оумъіеші,2spia----i
нозѣ,-d---fa--i
отъвѣшта,3saia----i
іс,-s---mn--i
і,---------n
рече,3saia----i
емоу,3s---md--i
еже,-s---na--i
азъ,1s---qn--i
творѫ,1spia----i
тъі,2s---qn--i
не,---------n
вѣсі,2spia----i
нъінѣ,---------n
разоумѣеші,2spia----i
же,---------n
по,---------n
сіхъ,-p---nl--i
гла,3saia----i
емоу,3s---md--i
петръ,-s---mn--i
не,---------n
оумъіеші,2spia----i
моею,1d---fl--i
ногоу,-d---fl--i
въ,---------n
вѣкъ,-s---ma--i
отъвѣшта,3saia----i
емоу,3s---md--i
іс,-s---mn--i
аште,---------n
не,---------n
оумъіѭ,1spia----i
тебе,2s---qg--i
не,---------n
імаші,2spia----i
чѧсті,-s---fg--i
съ,---------n
мноѭ,1s---qi--i
гла,3saia----i
емоу,3s---md--i
сімонъ,-s---mn--i
петръ,-s---mn--i
гі,-s---mv--i
не,---------n
нозѣ,-d---fa--i
моі,1d---fa--i
тъкъмо,---------n
нъ,---------n
і,---------n
рѫцѣ,-d---fa--i
і,---------n
главѫ,-s---fa--i
гла,3saia----i
емоу,3s---md--i
іс,-s---mn--i
ізмъвенъі,-suppmn-wi
не,---------n
трѣбоуетъ,3spia----i
тъкъмо,---------n
нозѣ,-d---fa--i
оумъіті,--pna----i
естъ,3spia----i
бо,---------n
вьсь,-s---mn--i
чістъ,-s---mnpsi
і,---------n
въі,2p---qn--i
чісті,-p---mnpsi
есте,2ppia----i
нъ,---------n
не,---------n
вьсі,-p---mn--i
вѣдѣаше,3siia----i
бо,---------n
прѣдаѭштаего,-sppamg-wi
і,3s---ma--i
сего,-s---ng--i
раді,---------n
рече,3saia----i
ѣко,---------n
не,---------n
всі,-p---mn--i
есте,2ppia----i
чісті,-p---mnpsi
егда,---------n
оумъі,3saia----i
нозѣ,-d---fa--i
іхъ,3p---mg--i
і,---------n
пріѧтъ,3saia----i
різъі,-p---fa--i
своѧ,3p---pa--i
і,---------n
вьзлеже,3saia----i
пакъі,---------n
рече,3saia----i
імъ,3p---md--i
вѣсте,2ppia----i
лі,---------n
чьто,-s---na--i
сътворіхъ,1saia----i
вамъ,2p---qd--i
въі,2p---qn--i
глашаете,2piia----i
мѧ,1s---qa--i
оучітелѣ,-s---mg--i
і,---------n
гѣ,-s---mg--i
і,---------n
добрѣ,-------p-i
глете,2ppia----i
есмь,1spia----i
бо,---------n
аште,---------n
оубо,---------n
азъ,1s---qn--i
оумъіхъ,1saia----i
ваші,2d---ra--i
нозѣ,-d---fa--i
гь,-s---mn--i
і,---------n
оучітель,-s---mn--i
і,---------n
въі,2p---qn--i
длъжьні,-p---mnpsi
есте,2ppia----i
дроугъ,-s---qn--i
дроугоу,-s---qd--i
оумъіваті,--pna----i
нозѣ,-d---fa--i
образъ,-s---ma--i
дахъ,1saia----i
вамъ,2p---qd--i
да,---------n
ѣкоже,---------n
азъ,1s---qn--i
творіхъ,1saia----i
вамъ,2p---qd--i
і,---------n
въі,2p---qn--i
творіте,2ppia----i
амін,---------n
амін,---------n
глѭ,1spia----i
вамъ,2p---qd--i
нѣстъ,3spia----i
рабъ,-s---mn--i
болі,-p---ma--i
гѣ,-s---mg--i
своего,3s---og--i
ні,---------n
аполъ,-p---mg--i
болі,-p---ma--i
посълавъшаего,-supamg-wi
і,3s---ma--i
аште,---------n
сі,-p---na--i
вѣсте,2ppia----i
блажені,-p---mnpsi
есте,2ppia----i
аште,---------n
творіте,2ppia----i
ѣ,3p---na--i
не,---------n
о,---------n
вьсѣхъ,-p---ql--i
васъ,2p---ql--i
глѭ,1spia----i
азъ,1s---qn--i
бо,---------n
вѣмь,1spia----i
еже,-s---na--i
ізбърахъ,1saia----i
нъ,---------n
да,---------n
кънігъі,-p---fn--i
събѫдѫтъ,3ppia----i
сѧ,3s---qa--i
ѣко,---------n
ѣдъі,-sppaon-si
съ,---------n
мноѭ,1s---qi--i
хлѣбъ,-s---ma--i
вьздвігнетъ,3spia----i
на,---------n
мѧ,1s---ma--i
пѧтѫ,-s---fa--i
своѭ,3s---fa--i
отъселѣ,---------n
глѭ,1spia----i
вамъ,2p---qd--i
прѣжде,---------n
даже,---------n
не,---------n
бѫдетъ,3sfia----i
да,---------n
егда,---------n
бѫдетъ,3sfia----i
вѣсте,2ppia----i
ѣко,---------n
азъ,1s---qn--i
есмь,1spia----i
амін,---------n
амін,---------n
глѭ,1spia----i
вамъ,2p---qd--i
пріемлѧі,-sppamn-wi
аште,---------n
кого,-s---qg--i
посълѭ,1spia----i
мене,1s---qg--i
пріемлетъ,3spia----i
а,---------n
пріемлѧі,-sppamn-wi
мене,1s---qg--i
пріемлетъ,3spia----i
посълавьшаего,-supamg-wi
мѧ,1s---qa--i
сі,-p---na--i
рекъ,-supamn-si
іс,-s---mn--i
възмѫті,3saia----i
сѧ,3s---qa--i
дхомь,-s---mi--i
і,---------n
съвѣдѣтельствова,3saia----i
і,---------n
рече,3saia----i
амін,---------n
амін,---------n
глѭ,1spia----i
вамъ,2p---qd--i
ѣко,---------n
едінъ,-s---mn--i
отъ,---------n
васъ,2p---qg--i
прѣдастъ,3spia----i
мѧ,1s---qa--i
съзіраахѫ,3piia----i
же,---------n
сѧ,3s---qa--i
междоу,---------n
собоѭ,3s---qi--i
оученіці,-p---mn--i
недомъіслѧште,-pppamn-si
о,---------n
комь,-s---ql--i
глетъ,3spia----i
бѣ,3siia----i
же,---------n
вьзлежѧ,-sppamn-si
едінъ,-s---mn--i
отъ,---------n
оученікъ,-p---mg--i
его,3s---mg--i
на,---------n
лонѣ,-s---nl--i
ісвѣ,-s---olpsi
егоже,-s---mg--i
люблѣаше,3siia----i
іс,-s---mn--i
поманѫ,3saia----i
же,---------n
семоу,-s---md--i
сімонъ,-s---mn--i
петръ,-s---mn--i
въпросіті,--pna----i
і,---------n
къто,-s---qn--i
оубо,---------n
естъ,3spia----i
о,---------n
немьже,-s---ml--i
глетъ,3spia----i
нападъ,-supamn-si
же,---------n
тако,---------n
на,---------n
пръсі,-p---fa--i
ісвъі,-p---papsi
гла,3saia----i
емоу,3s---md--i
гі,-s---mv--i
къто,-s---pn--i
естъ,3spia----i
отъвѣшта,3saia----i
іс,-s---mn--i
тъ,-s---mn--i
естъ,3spia----i
емоуже,-s---md--i
азъ,1s---qn--i
омочь,-supamn-si
хлѣбъ,-s---ma--i
подамь,1spia----i
і,---------n
омочь,-supamn-si
хлѣбъ,-s---ma--i
пріѧтъ,3saia----i
і,---------n
дастъ,3saia----i
іюдѣ,-s---md--i
сімоноу,-s---md--i
іскаріотьскоумоу,-s---mdpwi
і,---------n
по,---------n
хлѣбѣ,-s---ml--i
тогда,---------n
вьніде,3saia----i
въ,---------n
нь,3s---ma--i
сотона,-s---mn--i
гла,3saia----i
емоу,3s---md--i
іс,-s---mn--i
еже,-s---na--i
творіші,2spia----i
творі,2spma----i
скоро,-------p-i
сего,-s---ng--i
же,---------n
нікътоже,-s---pn--i
не,---------n
разоумѣ,-s---ml--i
вьзлежѧштіхъ,-pppaml-wi
чесо,-s---ng--i
раді,---------n
рече,3saia----i
емоу,3s---md--i
етері,-p---mn--i
бо,---------n
мьнѣахѫ,3piia----i
понеже,---------n
ковьчежьць,-p---mg--i
імѣаше,3siia----i
іюда,-s---mn--i
ѣко,---------n
глетъ,3spia----i
емоу,3s---md--i
іс,-s---mn--i
коупі,2spma----i
егоже,-s---ng--i
трѣбоуемъ,1ppia----i
на,---------n
праздьнікъ,-s---ma--i
лі,---------n
ніштімъ,-p---mdpwi
да,---------n
нѣчьто,-s---na--i
дастъ,3spia----i
пріімъ,-supamn-si
же,---------n
онъ,-s---mn--i
хлѣбъ,-s---mn--i
ізіде,3saia----i
абіе,---------n
бѣ,3siia----i
же,---------n
ношть,-s---fa--i
егда,---------n
ізіде,3saia----i
гла,3saia----i
